Data has been correctly loaded from ../../config/files/json_paths.yaml file
Data has been correctly loaded from ../../config/files/datastore_paths.yaml file
Data has been correctly loaded from ../../data/datastores/cpg950_coding_genes_original_data.json file
Key: ADAM22, Methylation Islands Number: 43
Key: ADAM23, Methylation Islands Number: 27
Key: ADAM28, Methylation Islands Number: 35
Key: ADAM29, Methylation Islands Number: 21
Key: ADAM30, Methylation Islands Number: 79
Key: ADAM32, Methylation Islands Number: 26
Key: ADAM33, Methylation Islands Number: 105
Key: ADAM7, Methylation Islands Number: 35
Key: ADAM8, Methylation Islands Number: 285
Key: ADAM9, Methylation Islands Number: 85
Key: ADAMDEC1, Methylation Islands Number: 46
Key: ADAMTS1, Methylation Islands Number: 34
Key: ADAMTS10, Methylation Islands Number: 109
Key: ADAMTS12, Methylation Islands Number: 64
Key: ADAMTS13, Methylation Islands Number: 150
Key: ADAMTS14, Methylation Islands Number: 75
Key: ADAMTS15, Methylation Islands Number: 93
Key: ADAMTS16, Methylation Islands Number: 63
Key: ADAMTS17, Methylation Islands Number: 71
Key: ADAMTS18, Methylation Islands Number: 40
Key: ADAMTS19, Methylation Islands Number: 27
Key: ADAMTS2, Methylation Islands Number: 103
Key: ADAMTS20, Methylation Islands Number: 16
Key: ADAMTS3, Methylation Islands Number: 23
Key: ADAMTS4, Methylation Islands Number: 224
Key: ADAMTS5, Methylation Islands Number: 33
Key: ADAMTS6, Methylation Islands Number: 26
Key: ADAMTS7, Methylation Islands Number: 72
Key: ADAMTS8, Methylation Islands Number: 91
Key: ADAMTS9, Methylation Islands Number: 47
Key: ADAMTSL1, Methylation Islands Number: 35
Key: ADAMTSL2, Methylation Islands Number: 132
Key: ADAMTSL3, Methylation Islands Number: 27
Key: ADAMTSL4, Methylation Islands Number: 143
Key: ADAMTSL5, Methylation Islands Number: 219
Key: ADAP1, Methylation Islands Number: 286
Key: ADAP2, Methylation Islands Number: 79
Key: ADAR, Methylation Islands Number: 113
Key: ADARB1, Methylation Islands Number: 102
Key: ADARB2, Methylation Islands Number: 111
Key: ADAT1, Methylation Islands Number: 97
Key: ADAT2, Methylation Islands Number: 79
Key: ADAT3, Methylation Islands Number: 201
Key: ADCK1, Methylation Islands Number: 68
Key: ADCK2, Methylation Islands Number: 94
Key: ADCK5, Methylation Islands Number: 273
Key: ADCY1, Methylation Islands Number: 39
Key: ADCY10, Methylation Islands Number: 55
Key: ADCY2, Methylation Islands Number: 38
Key: ADCY3, Methylation Islands Number: 82
Key: ADCY4, Methylation Islands Number: 250
Key: ADCY5, Methylation Islands Number: 62
Key: ADCY6, Methylation Islands Number: 125
Key: ADCY7, Methylation Islands Number: 88
Key: ADCY8, Methylation Islands Number: 27
Key: ADCY9, Methylation Islands Number: 78
Key: ADCYAP1, Methylation Islands Number: 60
Key: ADCYAP1R1, Methylation Islands Number: 62
Key: ADD1, Methylation Islands Number: 134
Key: ADD2, Methylation Islands Number: 80
Key: ADD3, Methylation Islands Number: 77
Key: ADH1A, Methylation Islands Number: 21
Key: ADH1B, Methylation Islands Number: 22
Key: ADH1C, Methylation Islands Number: 28
Key: ADH4, Methylation Islands Number: 46
Key: ADH5, Methylation Islands Number: 43
Key: ADH6, Methylation Islands Number: 23
Key: ADH7, Methylation Islands Number: 19
Key: ADHFE1, Methylation Islands Number: 92
Key: ADI1, Methylation Islands Number: 189
Key: ADIG, Methylation Islands Number: 62
Key: ADIPOQ, Methylation Islands Number: 105
Key: ADIPOR1, Methylation Islands Number: 105
Key: ADIPOR2, Methylation Islands Number: 108
Key: ADK, Methylation Islands Number: 65
Key: ADM, Methylation Islands Number: 85
Key: ADM2, Methylation Islands Number: 207
Key: ADNP, Methylation Islands Number: 87
Key: ADNP2, Methylation Islands Number: 87
Key: ADO, Methylation Islands Number: 84
Key: ADORA1, Methylation Islands Number: 138
Key: ADORA2A, Methylation Islands Number: 106
Key: ADORA2B, Methylation Islands Number: 73
Key: ADORA3, Methylation Islands Number: 122
Key: ADPGK, Methylation Islands Number: 65
Key: ADPRH, Methylation Islands Number: 65
Key: ADPRHL1, Methylation Islands Number: 225
Key: ADRA1A, Methylation Islands Number: 46
Key: ADRA1B, Methylation Islands Number: 44
Key: ADRA1D, Methylation Islands Number: 42
Key: ADRA2A, Methylation Islands Number: 39
Key: ADRA2B, Methylation Islands Number: 72
